pic,name,x,y,w,h
,app5_alien,994,553,238,337
,alien_reason,694,484,322,316
,app5_background,640,440,1280,880
,chip_reason,739,738,155,223
,app5_TECH,1057,297,197,175
,crystals5_1,152,292,128,138
,crystals6_1,317,277,128,138
,crystals7,496,294,128,138
,crystals10,641,277,128,138
,crystals12,793,292,128,138
,factory_reason,956,280,123,133
,plant_reason,215,772,353,225
,predator_reason,1132,157,251,168
,spaceship_reason,1076,797,362,217
,whale_reason,484,564,232,248
,what_cell _2,855,130,206,178
,what_cell1,666,124,206,178
,what_cell8png,138,134,206,178
,what_cell20,317,134,206,178
,what_cell21,496,134,206,178
,,,,,
,,,,,
,,,,,
