pic,name,x,y,w,h
,alien,670,670,417,302
,animal2_6,490,693,163,317
,crystals4,1187,330,203,220
,how_1_1,129,131,179,185
,how_1_2,641,131,179,179
,how_2,299,131,179,179
,how_3,476,131,179,179
,how_4,820,131,179,185
,how_5_1,1175,128,179,185
,how_5_2,998,128,179,185
,origin_plant,998,330,177,183
,plant,125,612,223,366
,structures9,320,583,283,303
,structures15,840,610,300,504
,tech,1200,620,542,391
,weapon,648,487,168,191
,what_cell3,125,326,176,182
,what_cell6,301,326,176,182
,what_cell10,473,326,176,182
,what_cell13,647,323,176,177
,what_cell15,821,323,176,177
,app2_background,640,440,1280,880
,,,,,
,,,,,
,,,,,
