pic,name,x,y,w,h
,alien1,824,581,452,374
,aligator,1055,670,384,179
,animal3,465,664,301,190
,app_all_city_1,839,335,312,119
,app_all_city_2,1145,335,257,117
,tech1,976,244,121,152
,sun,1120,101,168,159
,moon,897,111,286,172
,smiley_face,108,394,133,127
,plant1,246,551,288,343
,what_cell1,112,237,146,139
,what_cell2,254,233,146,139
,what_cell3,681,237,146,139
,what_cell7,536,237,146,140
,what_cell9,397,235,146,140
,how_5_1,394,96,159,112
,how_5_2,401,60,114,79
,how_1_2,254,105,193,208
,how_1_1,262,138,193,207
,how_3_1,683,100,133,105
,how_3_2,673,105,159,155
,how_4_1,100,90,146,102
,how_4_2,108,100,146,102
,how_2_1,533,105,120,110
,how_2_2,537,109,158,121
,background1,640,440,1280,880
